seed_id,variant_id,text,language_style,energy,tension,attention,primary_state,auto_flags,decision,review_note
drained_004,drained_004_g1,"I can still work, but my mind feels exhausted.",english,low,low,okay,drained,,,
drained_004,drained_004_g2,"Main abhi bhi kaam kar sakta hoon, lekin mera dimag thak gaya hai.",roman_urdu,low,low,okay,drained,,,
drained_004,drained_004_g3,"I can still kaam kar sakta hoon, lekin mera brain thak gaya hai.",code_mixed,low,low,okay,drained,,,
drained_012,drained_012_g1,"I'm exhausted, just need a short break.",english,low,low,okay,drained,,,
drained_012,drained_012_g2,"Thak gayi hoon, bas chota break chahiye.",roman_urdu,low,low,okay,drained,,,
drained_012,drained_012_g3,"I'm thak gayi, just ek chota break chahiye.",code_mixed,low,low,okay,drained,,,
overwhelmed_002,overwhelmed_002_g1,There’s a lot to finish and I’m unsure where to begin.,english,normal,high,scattered,overwhelmed,,,
overwhelmed_002,overwhelmed_002_g2,Bahut kaam baqi hai aur mujhe pata nahi ke kahan se shuru karoon.,roman_urdu,normal,high,scattered,overwhelmed,,,
overwhelmed_002,overwhelmed_002_g3,Mujhe kaam bahut hai aur I don't know where to start.,code_mixed,normal,high,scattered,overwhelmed,,,
overwhelmed_016,overwhelmed_016_g1,There's a lot of pressure and my focus is breaking apart.,english,normal,high,scattered,overwhelmed,,,
overwhelmed_016,overwhelmed_016_g2,Bohat pressure hai aur focus toot raha hai.,roman_urdu,normal,high,scattered,overwhelmed,,,
overwhelmed_016,overwhelmed_016_g3,"Bohat pressure hai, and my focus breaking ho raha hai.",code_mixed,normal,high,scattered,overwhelmed,,,
distracted_004,distracted_004_g1,My focus keeps jumping around everywhere today.,english,high,medium,scattered,distracted,,,
distracted_004,distracted_004_g2,Mera focus aaj har jagah se jump kar raha hai.,roman_urdu,high,medium,scattered,distracted,,,
distracted_004,distracted_004_g3,My attention is jump kar raha hai everywhere today.,code_mixed,high,medium,scattered,distracted,,,
drained_001,drained_001_g1,I've been cramming for hours and my brain is totally exhausted.,english,low,medium,okay,drained,,,
drained_001,drained_001_g2,Main ghanto se padhai kar raha hoon aur mera dimaag bilkul khatam ho gaya hai.,roman_urdu,low,medium,okay,drained,,,
